pl_name,pl_rade,pl_masse,pl_eqt,pl_insol,pl_orbper,pl_orbsmax,st_spectype,st_mass,st_lum,st_rad,st_teff
11 Com b,,,,,323.21,1.178,G8 III,2.09,1.97823,13.76,4874
11 UMi b,,,,,,1.51,,1.7,,,
14 And b,,,,,185.84,0.83,K0 III,2.2,1.763,11,4813
14 Her b,,,,,1773.4,2.77,K0 V,,,,
16 Cyg B b,,,,,799.5,1.68,G3 V,,,,
17 Sco b,,,,,578.38,1.45,K3 III,1.22,2.25435,25.92,4157
18 Del b,,,,,,2.54,,2.1,,,
1RXS J160929.1-210524 b,,3000,1700,,,330,K7 V,0.85,-0.37,,4060
24 Boo b,,,,,30.33,0.194,G3 IV,1.05,1.87691,12.19,4816
24 Sex b,,,,,452.8,1.333,,1.54,1.164,4.9,5098
24 Sex c,,,,,883,2.08,,1.54,1.164,4.9,5098
2M0437 b,,1271.313628,1450,,,118,M V,0.17,-1.16368,0.84,3100
2MASS J01033563-5515561 AB b,,4131.79,,,,84,M5.5/M6,0.19,,,
2MASS J01225093-2439505 b,11.209,,1600,,,,,0.353185,-1.83849,0.36645,3309
2MASS J02192210-3925225 b,16.14096,4417.837,,,,156,M6,0.108,-2.23,0.281,3064
2MASS J0249-0557 c,,3686.809521,,,,1950,M6 V,0.046,-2.59,,
2MASS J03590986+2009361 b,,5720.911326,2369,,,572,,,,,
2MASS J04414489+2301513 b,,2383.6,,,,15,M8.5,0.019,,,
2MASS J11011926-7732383 b,,8899.195396,2677,,,266,,,,,
2MASS J11550485-7919108 b,,6356.56814,2506,,,587,,,,,
2MASS J12073346-3932539 b,,1271,1150,,,46,,0.188001,-2.56086,0.21887,2825
2MASS J19383260+4603591 b,,603.877,,,416,0.92,,0.48,,,
2MASS J21252752-8138278 b,,3813.940884,1616,,,7493,,,,,
2MASS J22362452+4751425 b,,3972.875,,,,230,K7 V,0.6,,,4045
30 Ari B b,,,,,335.10001,0.99,,1.93,,1.41,6331
4 UMa b,,,,,270.27,0.877,K1 III,1.234,,18.11,4415
47 UMa b,,,,,1078,2.1,,1.06,0.1978,1.21334,5872
47 UMa c,,,,,2391,3.6,,1.06,0.1978,1.21334,5872
