pl_name,pl_rade,pl_masse,pl_eqt,pl_insol,pl_orbper,pl_orbsmax,st_spectype,st_mass,st_lum,st_rad,st_teff,pl_orbper_years,is_m_dwarf,is_tidally_locked,is_gas_giant_by_radius,is_gas_giant_by_mass,is_gas_giant,gas_giant_status_display,S_radius,S_flux,S_tidal,S_mass,S_temperature,Total_Score,active_weights_sum,is_score_capped,Habitability_Category_Temp_Disqualified,Habitability_Category_Gas_Giant_Disqualified,Habitability_Category_Insufficient_Raw_Core_Data,is_capped_by_hard_physical_gates,is_capped_by_esi_gate,flag_low_ESI_high_score_inconsistency,ESI_Similarity_Index,Habitability_Category,data_completeness_count
TRAPPIST-1 e,0.918,0.62,251.3,0.662,6.099615,0.02817,,0.0802,-3.28067,0.117,2559.0,0.016699835728952773,True,True,False,False,False,No,0.8975000000000001,0.831,0.0,0.9577777777777777,0.7785714285714287,7.542069841269843,1.0,False,False,False,False,False,False,False,0.8530528419998413,Category 1: High,5
Kepler-1126 c,1.45,,305.0,2.06,199.66876,0.6193,,0.794,0.7910258264037344,0.921,5678.0,0.5466632717316906,False,False,False,False,False,No,0.4375000000000001,0.47,1.0,,0.8823529411764706,6.960073529411765,0.8,False,False,False,False,False,False,False,0.7227523437772954,Category 2: Medium,3
Kepler-438 b,0.98,,273.0,1.31,35.23318,0.1648,,0.479,0.03558078140066661,0.463,3688.0,0.096463189596167,True,True,False,False,False,No,0.975,0.845,0.0,,1.0,6.9,0.8,True,False,False,False,True,False,False,0.904838458374293,Category 2: Medium,4
TOI-700 e,0.94918578,,272.9,1.3108,27.80968976,,,,0.023204905808311714,0.419457,3482.0,0.07613878099931554,True,True,False,False,False,No,0.936482225,0.8446,0.0,,0.9989795918367345,6.9,0.8,True,False,False,False,True,False,False,0.9031249153691051,Category 2: Medium,4
Kepler-442 b,1.56,,260.0,1.08,112.306839,0.393,,0.641,0.1667250455493961,0.653,4569.0,0.30747936755646815,False,False,False,False,False,No,0.29999999999999993,0.96,1.0,,0.8673469387755102,6.9,0.8,True,False,False,False,True,False,False,0.8429476959703839,Category 2: Medium,3
Kepler-62 e,1.73,,265.0,1.17,122.3863812,0.4152,,0.637,0.20257930944963476,0.653,4797.0,0.33507565010266943,False,False,False,False,False,No,0.08750000000000002,0.915,1.0,,0.9183673469387755,6.9,0.8,True,False,False,False,True,False,False,0.8029724859382116,Category 2: Medium,3
Kepler-138 d,1.212,0.64,,2.32,23.0881,0.1276863741108745,,0.521,0.03815149996241908,0.442,3841.0,0.06321177275838467,False,False,False,False,False,No,0.7350000000000001,0.3400000000000001,1.0,0.96,,6.9,0.7,True,False,False,False,True,False,False,0.7108083962243523,Category 2: Medium,3
KOI-55 c,0.867,0.655,,6.150915979934988e-23,0.342887,0.0076,B,0.496,1.36,0.203,27730.0,0.0009387734428473648,False,False,False,False,False,No,0.83375,0.5,1.0,0.9616666666666667,,6.9,0.7,True,False,False,False,True,False,False,0.29110129499270043,Category 2: Medium,3
Kepler-1972 b,0.802,2.02,,1.2586046044147312e-25,7.54425,0.07817896300906885,,1.12,0.29447,1.384,5818.0,0.020655030800821355,False,False,False,False,False,No,0.7525000000000001,0.5,1.0,0.8866666666666667,,6.9,0.7,True,False,False,False,True,False,False,0.2886375207230052,Category 2: Medium,3
KOI-55 b,0.759,0.44,,9.868802972251247e-23,0.240104,0.006,B,0.496,1.36,0.203,27730.0,0.0006573689253935661,False,False,False,False,False,No,0.69875,0.5,1.0,0.9377777777777778,,6.9,0.7,True,False,False,False,True,False,False,0.2862872965374761,Category 2: Medium,3
TOI-561 b,1.423,1.59,,1.3440251694160112e-23,0.446578,0.01055,G9 V,0.785,0.5726433875116472,0.849,5455.0,0.0012226639288158794,False,False,False,False,False,No,0.47124999999999995,0.5,1.0,0.9344444444444444,,6.9,0.7,True,False,False,False,True,False,False,0.28219880305451117,Category 2: Medium,3
TRAPPIST-1 g,1.129,1.321,,0.252,12.352446,0.04683,,0.0898,-3.25727,0.1192,2566.0,0.033819154004106775,True,True,False,False,False,No,0.83875,0.626,0.0,0.9643333333333334,,6.761380952380954,0.7,False,False,False,False,False,False,False,0.575376161190549,Category 2: Medium,4
GJ 1252 b,1.193,1.32,,-5.324186661913684e-23,0.5182331,0.009153733711726023,M3,0.381,-1.70774,0.391,3458.0,0.001418844900752909,True,True,False,False,False,No,0.7587499999999999,,0.0,0.9644444444444444,,6.62767094017094,0.52,False,False,False,False,False,False,False,,Category 2: Medium,4
Kepler-560 b,1.57,,270.0,1.26,18.47764449,0.0916,,0.3,0.010626570944663816,0.3,3387.0,0.05058903351129363,True,True,False,False,False,No,0.2875,0.87,0.0,,0.9693877551020408,6.311454081632652,0.8,False,False,False,False,False,False,False,0.8233280848305666,Category 2: Medium,4
TRAPPIST-1 c,1.097,1.308,,2.214,2.421937,0.0158,,0.0898,-3.25727,0.1192,2566.0,0.00663090212183436,True,True,False,False,False,No,0.87875,0.393,0.0,0.9657777777777777,,6.280650793650794,0.7,False,False,False,False,False,False,False,0.7309145777368306,Category 2: Medium,4
Kepler-97 b,1.48,3.51,,1.9238354725222708e-24,2.58664,0.036124883979450115,,0.94,0.9610650393588049,0.98,5779.0,0.007081834360027379,False,False,False,False,False,No,0.4,0.5,1.0,0.7211111111111111,,6.203174603174605,0.7,False,False,False,False,False,False,False,0.2797705309703191,Category 2: Medium,3
Kepler-10 b,1.47,3.72,,1.5917481860258254e-26,0.8374907,0.01685,,0.91,0.00173,1.065,5708.0,0.0022929245722108148,False,False,False,False,False,No,0.4125000000000001,0.5,1.0,0.6977777777777778,,6.1722222222222225,0.7,False,False,False,False,False,False,False,0.28020566458383644,Category 2: Medium,3
Kepler-1652 b,1.12,,229.0,0.65,38.0972378,0.1576,,0.359,0.016156266406419994,0.35,3482.0,0.10430455249828885,True,True,False,False,False,No,0.8499999999999999,0.825,0.0,,0.5510204081632653,6.047576530612244,0.8,False,False,False,False,False,False,False,0.8447592261062496,Category 2: Medium,4
Kepler-1229 b,1.12,,196.0,0.35,86.828989,0.2899,,0.431,0.029575304277657703,0.414,3724.0,0.2377248158795346,False,False,False,False,False,No,0.8499999999999999,0.675,1.0,,0.21428571428571427,5.947321428571428,0.8,False,False,False,False,False,False,False,0.6571965549712291,Category 2: Medium,3
Kepler-296 d,1.52,,297.0,1.83,19.85029495,0.1052,,0.394,0.02034307638273541,0.383,3526.0,0.054347145653661874,True,True,False,False,False,No,0.35,0.585,0.0,,1.0,5.941249999999999,0.8,False,False,False,False,False,False,False,0.7464287070966507,Category 2: Medium,4
