pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_orbeccen,pl_insol,pl_eqt,ttv_flag,st_refname,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_logg,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_vmag,sy_kmag,sy_gaiamag,rowupdate,pl_pubdate,releasedate,pl_surf_temp,score_radius,score_insolation,score_eccentricity,score_orbital_period,score_temp,score,habitability_category,pl_gravity,total_score
Kepler-442b,Kepler-442,1,1,1,Transit,2015,Kepler Space Telescope,K-type main-sequence star,0,NASA Exoplanet Archive,112.3053,0.409,1.34,,2.36,,Estimate,0.04,0.7,233,0,NASA Exoplanet Archive,K5,4402,0.6,0.61,0.22,,4.67,NASA Exoplanet Archive,19h01m27.98s,285.36658,39d16m48.3s,39.28008,1206,14.76,,,6/17/2025,1/1/2015,1/1/2015,,6.6,7,9.468,3.0700082191780815,10,7.227601643835615,Category 1,,7.227601643835615
TRAPPIST-1 d,TRAPPIST-1,0,1,7,Transit,2016,La Silla Observatory,Published Confirmed,0,<a refstr=GILLON_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017Natur.542..456G/abstract target=ref>Gillon et al. 2017</a>,4.04961,0.02144,0.772,0.06887323,0.41,0.00129,Mass,0.07,1.143,288,1,<a refstr=GILLON_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017Natur.542..456G/abstract target=ref>Gillon et al. 2017</a>,,2559,0.117,0.0802,0.04,[Fe/H],,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h06m30.33s,346.6263919,-05d02m36.46s,-5.0434618,,17.02,10.296,15.6451,2/17/2017,2017-02,2/22/2017,,7.720000000000001,8.57,7.868,0.10409890410958766,10,6.8524197808219185,Category 2,,6.8524197808219185
TOI-2095 c,TOI-2095,1,1,2,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=MURGAS_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230409220M/abstract target=ref>Murgas et al. 2023</a>,28.17232,0.137,1.33,0.11865486,7.4,0.023283,Mass,0,1.84,297,0,<a refstr=MURGAS_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230409220M/abstract target=ref>Murgas et al. 2023</a>,M2.5 V,3759,0.44,0.44,-0.24,[Fe/H],5.11,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h02m32.77s,285.6365235,+75d25m06.65s,75.4185135,41.9176,13.19,8.988,12.094,8/22/2023,2023-04,8/22/2023,,6.699999999999999,1.5999999999999996,9.332,0.7649950684931515,8.2,5.3193990136986296,Category 2,,5.3193990136986296
PH2 b,PH2,1,1,1,Transit,2013,Kepler,Published Confirmed,0,<a refstr=DALBA_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJS..271...16D/abstract target=ref>Dalba et al. 2024</a>,282.52542,0.833,9.33708092,0.833,87.08498352,0.274,Mass,0.215,1.2,295.1,0,<a refstr=DALBA_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJS..271...16D/abstract target=ref>Dalba et al. 2024</a>,,5734,0.949,0.966,0.017,[Fe/H],4.47,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h19m03.27s,289.7636212,+51d57m45.66s,51.962683,343.863,12.645,11.116,12.5811,9/13/2024,2024-03,9/13/2024,,0,8,2.0679999999999996,7.733573150684931,8.579999999999995,5.276314630136985,Category 2,,5.276314630136985
Kepler-22 b,Kepler-22,1,1,1,Transit,2011,Kepler,Published Confirmed,0,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,289.863876,0.812,2.1,0.18734977,9.1,0.0286318,Mass,0.72,1.013,279,0,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,,5596,0.869,0.857,-0.255,[Fe/H],,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h16m52.13s,289.2172051,+47d53m02.91s,47.8841427,194.642,11.751,10.152,11.6444,4/17/2023,2023-04,4/17/2023,,0,9.870000000000001,0,7.934626739726028,8.2,5.200925347945206,Category 2,,5.200925347945206
TRAPPIST-1 e,TRAPPIST-1,0,1,7,Transit,2017,Multiple Observatories,Published Confirmed,0,<a refstr=GILLON_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017Natur.542..456G/abstract target=ref>Gillon et al. 2017</a>,6.099615,0.02817,0.918,0.08189847,0.62,0.00195073,Mass,0.085,0.662,251.3,1,<a refstr=GILLON_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017Natur.542..456G/abstract target=ref>Gillon et al. 2017</a>,,2559,0.117,0.0802,0.04,[Fe/H],,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h06m30.33s,346.6263919,-05d02m36.46s,-5.0434618,,17.02,10.296,15.6451,2/17/2017,2017-02,2/22/2017,,9.18,6.62,7.268,0.16026342465753274,2.660000000000002,5.177652684931507,Category 2,,5.177652684931507
K2-3 d,K2-3,1,1,3,Transit,2015,K2,Published Confirmed,0,<a refstr=DIAMOND_LOWE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....164..172D/abstract target=ref>Diamond-Lowe et al. 2022</a>,44.55603,0.2014,1.458,0.13007427,2.2,0.00692197,Mass,0.091,1.44,305.2,0,<a refstr=DIAMOND_LOWE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....164..172D/abstract target=ref>Diamond-Lowe et al. 2022</a>,M V,3844,0.546,0.549,-0.157,[Fe/H],4.704,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h29m20.49s,172.3353708,-01d27m18.49s,-1.4551364,44.0727,12.168,8.561,11.4785,7/10/2023,2022-11,7/10/2023,,5.42,5.6000000000000005,7.028,1.2138638356164382,6.560000000000002,5.164372767123288,Category 2,,5.164372767123288
Kepler-1661 b,Kepler-1661,1,2,1,Transit,2020,Kepler,Published Confirmed,0,<a refstr=SOCIA_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....159...94S/abstract target=ref>Socia et al. 2020</a>,175.06,0.633,3.87,0.34525827,17,0.05348771,Mass,0.057,0.88,243,0,<a refstr=SOCIA_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....159...94S/abstract target=ref>Socia et al. 2020</a>,K,5100,0.762,0.841,-0.12,[M/H],4.66,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h00m40.10s,285.1670927,+41d58m00.98s,41.9669383,410.607,14.357,12.162,14.1933,2/21/2020,2020-03,2/27/2020,,0,8.8,8.388,4.789315068493151,1,4.595463013698631,Category 2,,4.595463013698631
TRAPPIST-1 f,TRAPPIST-1,0,1,7,Transit,2017,Multiple Observatories,Published Confirmed,0,<a refstr=GILLON_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017Natur.542..456G/abstract target=ref>Gillon et al. 2017</a>,9.20669,0.0371,1.045,0.09322866,0.68,0.00213951,Mass,0.063,0.382,219,1,<a refstr=GILLON_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017Natur.542..456G/abstract target=ref>Gillon et al. 2017</a>,,2559,0.117,0.0802,0.04,[Fe/H],,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h06m30.33s,346.6263919,-05d02m36.46s,-5.0434618,,17.02,10.296,15.6451,2/17/2017,2017-02,2/22/2017,,9.55,3.8200000000000003,8.148,0.24538876712328772,0,4.352677753424658,Category 2,,4.352677753424658
K2-3 d,K2-3,0,1,3,Transit,2015,K2,Published Confirmed,0,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,44.556456,0.2097,1.62,0.14452697,1.6,0.00503416,Mass,0.097,1.6,312,0,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,,3835,0.6,0.62,-0.01,[Fe/H],,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h29m20.49s,172.3353708,-01d27m18.49s,-1.4551364,44.0727,12.168,8.561,11.4785,4/17/2023,2023-04,4/17/2023,,3.799999999999999,3.999999999999999,6.787999999999999,1.213875506849316,5.2,4.200375101369863,Category 2,,4.200375101369863
